instrument_oid;instrument_type;category;num_underlyings;expiry_date;time_to_expiry;num_paths;num_time_steps;num_exercise_events;calibration_date;calibration_time
27192327;TotalReturnSwap;CBRC;3;10.03.2025 00:00;0.775342466;15000;1;4;31.05.2024;40.484375
27690876;Option;BRC;2;14.05.2025 17:30;0.953424658;15000;1;0;31.05.2024;7.015625
27494885;Option;BRC;2;12.03.2025 21:00;0.780821918;15000;1;0;31.05.2024;7.703125
26902322;Option;BRC;3;03.06.2024 17:35;0.008219178;15000;1;0;31.05.2024;18.015625
27463602;Option;BRC;1;28.02.2025 22:00;0.747945205;15000;1;0;31.05.2024;1.78125
27667310;Option;BRC;1;04.09.2024 17:30;0.263013699;15000;1;0;31.05.2024;1.59375
27299834;TotalReturnSwap;AC;3;13.01.2025 00:00;0.621917808;15000;1;3;31.05.2024;33.25
26085114;Option;BRC;5;13.10.2025 17:30;1.369863014;15000;1;0;31.05.2024;87.796875
27681850;Option;BRC;2;30.04.2025 17:30;0.915068493;15000;1;0;31.05.2024;7.125
27199461;Option;BRC;2;12.02.2025 22:00;0.704109589;15000;1;0;31.05.2024;7.140625
27357413;Option;BRC;3;23.01.2025 17:35;0.649315068;15000;1;0;31.05.2024;22.9375
27714379;Option;BRC;4;13.05.2025 17:30;0.950684932;15000;1;0;31.05.2024;47.609375
27660264;Option;BRC;2;23.08.2024 17:30;0.230136986;15000;1;0;31.05.2024;7.046875
26723047;TotalReturnSwap;AC;3;28.06.2024 00:00;0.076712329;15000;1;1;31.05.2024;18.671875
27605619;Option;BRC;3;11.04.2025 17:30;0.863013699;15000;1;0;31.05.2024;22.953125
26917993;Option;BRC;3;06.12.2024 17:30;0.517808219;15000;1;0;31.05.2024;18.09375
27784527;Option;BRC;3;30.05.2025 17:30;0.997260274;15000;1;0;31.05.2024;19.203125
26855465;Option;BRC;3;19.08.2024 17:30;0.219178082;15000;1;0;31.05.2024;20
27448104;Option;BRC;1;24.02.2025 22:00;0.736986301;15000;1;0;31.05.2024;2
27690768;Option;BRC;1;06.11.2024 17:30;0.435616438;15000;1;0;31.05.2024;1.625
27480768;TotalReturnSwap;AC;3;12.06.2025 00:00;1.032876712;15000;1;5;31.05.2024;46.375
26754501;Option;BRC;3;05.07.2024 22:00;0.095890411;15000;1;0;31.05.2024;19.125
27357183;Option;BRC;3;23.04.2025 17:30;0.895890411;15000;1;0;31.05.2024;19.96875
27714387;Option;BRC;3;13.05.2025 17:30;0.950684932;15000;1;0;31.05.2024;21.296875
27384498;TotalReturnSwap;AC;3;10.02.2025 00:00;0.698630137;15000;1;3;31.05.2024;35.703125
27625798;TotalReturnSwap;AC;3;27.01.2025 00:00;0.660273973;15000;1;8;31.05.2024;67.09375
